"ID","Title","Expected Result","Priority","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Step)","Type"
"","","","","","","","","","
Step Description:
1. Go to the B2B store.
2. Activate the Promotion condition for the promotion_2 on the BackEnd.
3. Remove description for the Promotion_1 and Promotion_2 on BackEnd. 
4. Add some products to the cart to match the Coupon and Promotion conditions.
5. Go to the cart.
6. Enter the coupon code for the promotion_1 to the **Promotion code** input field.
7. Click **Apply**.
Expected Result:
1. The coupon applied.
2. The cart total is recalculated taking into account the promotion discount.
3. Discount line shows the only discount related to this promotion_1 without description.
4. Discount line shows the only discount related to this promotion_2 without description. ","","1. The coupon applied.
2. The cart total is recalculated taking into account the promotion discount.
3. Discount line shows the only discount related to this promotion_1 without description.
4. Discount line shows the only discount related to this promotion_2 without description. ","","1. Go to the B2B store.
2. Activate the Promotion condition for the promotion_2 on the BackEnd.
3. Remove description for the Promotion_1 and Promotion_2 on BackEnd. 
4. Add some products to the cart to match the Coupon and Promotion conditions.
5. Go to the cart.
6. Enter the coupon code for the promotion_1 to the **Promotion code** input field.
7. Click **Apply**.",""
"C407478","Apply coupon","","Medium","Multi-step checkout > Cart","0","Settings for multistep checkout:

https://github.com/VirtoCommerce/vc-theme-b2b-vue/blob/demo/config/settings_data.json

- """"checkout_multistep_enabled"""": true","Multi-step checkout > Cart","","Step Description:
1. Go to the B2B store. 
2. Add some products to the cart to match the promotion conditions. 
3. Go to the cart. 
4. Enter the coupon code to the **Promotion code** input field. 
5. Click **Apply**.
Expected Result:
1. The coupon applied. The cart total is recalculated taking into account promotion discount","","1. The coupon applied. The cart total is recalculated taking into account promotion discount","","1. Go to the B2B store. 
2. Add some products to the cart to match the promotion conditions. 
3. Go to the cart. 
4. Enter the coupon code to the **Promotion code** input field. 
5. Click **Apply**.","Other"
"","","","","","","","","","
Step Description:
1. Go to the B2B store. 
2. Add some products to the cart to match the promotion conditions. 
3. Go to the cart. 
4. Enter the coupon code to the **Promotion code** input field. 
5. Click **Apply**.

Enter wrong coupon in Promotion code field > Apply
Expected Result:
System display error message 

Total not changes","","System display error message 

Total not changes","","1. Go to the B2B store. 
2. Add some products to the cart to match the promotion conditions. 
3. Go to the cart. 
4. Enter the coupon code to the **Promotion code** input field. 
5. Click **Apply**.

Enter wrong coupon in Promotion code field > Apply",""
"","","","","","","","","","
Step Description:
1. Go to the B2B store. 
2. Add some products to the cart to match the promotion conditions. 
3. Go to the cart. 
4. Enter the coupon code to the **Promotion code** input field. 
5. Click **Apply**.
Click on Remove with coupon

Expected Result:
System was removed coupon from order.
Total was recalculated.","","System was removed coupon from order.
Total was recalculated.","","1. Go to the B2B store. 
2. Add some products to the cart to match the promotion conditions. 
3. Go to the cart. 
4. Enter the coupon code to the **Promotion code** input field. 
5. Click **Apply**.
Click on Remove with coupon
",""
"C407479","Validate coupon > Empty string","","Medium","Multi-step checkout > Cart","0","Settings for multistep checkout:

https://github.com/VirtoCommerce/vc-theme-b2b-vue/blob/demo/config/settings_data.json

- """"checkout_multistep_enabled"""": true","Multi-step checkout > Cart","","Step Description:
Add product to cart

Enter whitespace and hit the enter
Expected Result:
Nothing happens

The query is not sent for validation","","Nothing happens

The query is not sent for validation","","Add product to cart

Enter whitespace and hit the enter","Other"
"C407480","Product's block > general view","","Medium","Multi-step checkout > Cart","0","Settings for multistep checkout:

https://github.com/VirtoCommerce/vc-theme-b2b-vue/blob/demo/config/settings_data.json

- """"checkout_multistep_enabled"""": true","Multi-step checkout > Cart","","Step Description:
1. Add at least 10 products to the cart
2. Open the Checkout page
3. Check the Products block


Expected Result:
1.List of products presented with the next elements:
- Image
- Title of the product
- Properties: brand, price
- Field with the amount of the product
- Count in stock
- Icon: Remove
- Total price
2. Button Clean cart
 ","","1.List of products presented with the next elements:
- Image
- Title of the product
- Properties: brand, price
- Field with the amount of the product
- Count in stock
- Icon: Remove
- Total price
2. Button Clean cart
 ","","1. Add at least 10 products to the cart
2. Open the Checkout page
3. Check the Products block

","Functional"
"C407481","Product's block > sale/list prices","","Medium","Multi-step checkout > Cart","0","Settings for multistep checkout:

https://github.com/VirtoCommerce/vc-theme-b2b-vue/blob/demo/config/settings_data.json

- """"checkout_multistep_enabled"""": true","Multi-step checkout > Cart","","Step Description:
1. Add Product_1 to the cart
2. Open the Checkout page
3. Pay attention on prices in the Product block


Expected Result:
1. Sale price and List price are presented
- under the Product tile

 ","","1. Sale price and List price are presented
- under the Product tile

 ","","1. Add Product_1 to the cart
2. Open the Checkout page
3. Pay attention on prices in the Product block

","Functional"
"","","","","","","","","","
Step Description:
1. Update amount of the product to 10
2. Pay attention on prices in the Product block 

Expected Result:
1. Prices under the title: sale price (800), list price (1000)
2. Prices Total: 8000","","1. Prices under the title: sale price (800), list price (1000)
2. Prices Total: 8000","","1. Update amount of the product to 10
2. Pay attention on prices in the Product block 
",""
"","","","","","","","","","
Step Description:
1. Pay attention on Subtotal in the Order Summary block
Expected Result:
1. Subtotal price: 8000","","1. Subtotal price: 8000","","1. Pay attention on Subtotal in the Order Summary block",""
"C407482","Product's block > go back to the Product details page","","Medium","Multi-step checkout > Cart","0","Settings for multistep checkout:

https://github.com/VirtoCommerce/vc-theme-b2b-vue/blob/demo/config/settings_data.json

- """"checkout_multistep_enabled"""": true","Multi-step checkout > Cart","","Step Description:
1. Click on title of the Product without variations


Expected Result:
1. Product without variations details page opens

 ","","1. Product without variations details page opens

 ","","1. Click on title of the Product without variations

","Functional"
