"ID","Title","Attachments","Expected Result","Priority","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Step)","Type","is_converted"
"C410620","Purchased before products > Configurable products","","","Medium","Catalog","2","","Filters (Desktop and Mobile) > Purchased Before > Catalog","","Step Description:
1. Open catalog page with Configurable product_1 
2. Add to Cart Configurable product_1 
3. Place an Order
Expected Result:
1. Order successfully created","","1. Order successfully created","","1. Open catalog page with Configurable product_1 
2. Add to Cart Configurable product_1 
3. Place an Order","Functional","0"
"","","","","","","","","","","
Step Description:
1. Open catalog page
2. Choose filter - """"Previously purchased products""""
Expected Result:
1. Configurable product_1 appears in results","","1. Configurable product_1 appears in results","","1. Open catalog page
2. Choose filter - ""Previously purchased products""","",""
"C410621","Valid path > Category exists > Status code 200","","","Medium","Catalog","2","","Filters (Desktop and Mobile) > Purchased Before > Catalog","","","","","","","Other","0"
"C410622","Invalid path > URL/aaa/category1/subcategory1 > Status code 404","","","Medium","Catalog","2","","Filters (Desktop and Mobile) > Purchased Before > Catalog","","","","","","","Other","0"
"C410623","Valid path > Product exists > Status code 200","","","Medium","Catalog","2","","Filters (Desktop and Mobile) > Purchased Before > Catalog","","","","","","","Other","0"
"C410624","Invalid path > URL/404/category/subcategory/product_slug > Status code 404","","","Medium","Catalog","2","","Filters (Desktop and Mobile) > Purchased Before > Catalog","","","","","","","Other","0"
"C410625","Valid path > Static content exists > Status code 200","","","Medium","Catalog","2","","Filters (Desktop and Mobile) > Purchased Before > Catalog","","","","","","","Other","0"
"C410626","Invalid path > URL/aaa/Page > Status code 404","","","Medium","Catalog","2","","Filters (Desktop and Mobile) > Purchased Before > Catalog","","","","","","","Other","0"
"C410627","Invalid path > Static content does not exists > Status code 404","","","Medium","Catalog","2","","Filters (Desktop and Mobile) > Purchased Before > Catalog","","","","","","","Other","0"
"C410628","Valid path > the page from  routes.json file > Status code is 200","https://virtowayqa.testrail.io/index.php?/attachments/get/1000001977, https://virtowayqa.testrail.io/index.php?/attachments/get/1000000474","","Medium","Catalog","2","","Filters (Desktop and Mobile) > Purchased Before > Catalog","","Step Description:
Open console &gt; Network &gt; filter All 
Check the status for this page in the header
Expected Result:
The page opens without errors. The status code is 200

 ![](index.php?/attachments/get/196e61c6-04cc-4d7a-a126-0f387378cd65) 

","","The page opens without errors. The status code is 200

 ![](index.php?/attachments/get/196e61c6-04cc-4d7a-a126-0f387378cd65) 

","","Open console &gt; Network &gt; filter All 
Check the status for this page in the header","Other","0"
"C410629","Valid path > Category exists > Status code 200","","","Medium","Catalog","2","","Filters (Desktop and Mobile) > Purchased Before > Catalog","","","","","","","Other","0"
"C410630","Invalid path > URL/aaa/category1/subcategory1 > Status code 404","","","Medium","Catalog","2","","Filters (Desktop and Mobile) > Purchased Before > Catalog","","","","","","","Other","0"
"C410631","Valid path > Product exists > Status code 200","","","Medium","Catalog","2","","Filters (Desktop and Mobile) > Purchased Before > Catalog","","","","","","","Other","0"
"C410632","Invalid path > URL/404/category/subcategory/product_slug > Status code 404","","","Medium","Catalog","2","","Filters (Desktop and Mobile) > Purchased Before > Catalog","","","","","","","Other","0"
"C410633","Valid path > Static content exists > Status code 200","","","Medium","Catalog","2","","Filters (Desktop and Mobile) > Purchased Before > Catalog","","","","","","","Other","0"
"C410634","Invalid path > URL/aaa/Page > Status code 404","","","Medium","Catalog","2","","Filters (Desktop and Mobile) > Purchased Before > Catalog","","","","","","","Other","0"
"C410635","Invalid path > Static content does not exists > Status code 404","","","Medium","Catalog","2","","Filters (Desktop and Mobile) > Purchased Before > Catalog","","","","","","","Other","0"
"C410639","Facets > The number of values is less/equal 8 > Search field and Show more are not presented","https://virtowayqa.testrail.io/index.php?/attachments/get/1000003713","","Medium","Search by facets value (Desktop + Mobile)","1","","Filters (Desktop and Mobile) > Search by facets value (Desktop + Mobile)","","Step Description:
Go to the Catalog page &gt; Facets 
Click on Color


Expected Result:
There is no Search field inside the facet block
There is no **Show more** button
There is no Scrolling within block



  

 ![](index.php?/attachments/get/cdeda9e8-f6d7-4808-b340-2079361e1d8c) ","","There is no Search field inside the facet block
There is no **Show more** button
There is no Scrolling within block



  

 ![](index.php?/attachments/get/cdeda9e8-f6d7-4808-b340-2079361e1d8c) ","","Go to the Catalog page &gt; Facets 
Click on Color

","Other","0"
"C410640","Facets > The number of values is equal/more than 8 > Show more is presented","","","Medium","Search by facets value (Desktop + Mobile)","1","","Filters (Desktop and Mobile) > Search by facets value (Desktop + Mobile)","","Step Description:
Go to Catalog &gt; Facets
Click on Flavor
Verify the Show more
Expected Result:
There is no search filed within the block
**Show more** is present in the footer
There is no Scrolling within block


 ![](index.php?/attachments/get/122f5beb-b6bf-4f0a-86bb-98a16f0bfacf) 
","","There is no search filed within the block
**Show more** is present in the footer
There is no Scrolling within block


 ![](index.php?/attachments/get/122f5beb-b6bf-4f0a-86bb-98a16f0bfacf) 
","","Go to Catalog &gt; Facets
Click on Flavor
Verify the Show more","Other","0"
"","","","","","","","","","","
Step Description:
Click on Show more
Expected Result:
The block is extended and all 10 value is shown
The Show More changes to Show Less in the footer","","The block is extended and all 10 value is shown
The Show More changes to Show Less in the footer","","Click on Show more","",""
"","","","","","","","","","","
Step Description:
Click on Show less
Expected Result:
The block is collapsed and the 8 value is shown
Show More is displayed in the footer","","The block is collapsed and the 8 value is shown
Show More is displayed in the footer","","Click on Show less","",""
"C410641","Facets > The number of values is  more than 10 > Search field is shown","","","Medium","Search by facets value (Desktop + Mobile)","1","","Filters (Desktop and Mobile) > Search by facets value (Desktop + Mobile)","","Step Description:
Go to Catalog &gt; Facets
Click on LCD Size
Verify Search field
Expected Result:
The Search field is shown with Place holder: Search {facetName}

**Show more** is present in the footer

Only **8 values** are shown

There is no Scrolling within block

 ![](index.php?/attachments/get/5673acbc-2674-4985-8b1c-b9cc26e5a48f) 












  
","","The Search field is shown with Place holder: Search {facetName}

**Show more** is present in the footer

Only **8 values** are shown

There is no Scrolling within block

 ![](index.php?/attachments/get/5673acbc-2674-4985-8b1c-b9cc26e5a48f) 












  
","","Go to Catalog &gt; Facets
Click on LCD Size
Verify Search field","Other","0"
"","","","","","","","","","","
Step Description:
Click on Show more
Expected Result:
The block is extended and all values are shown
The Show More changes to Show Less in the footer","","The block is extended and all values are shown
The Show More changes to Show Less in the footer","","Click on Show more","",""
"","","","","","","","","","","
Step Description:
Click on Show less
Expected Result:
The block is collapsed and the 8 value is shown
Show more is displayed in the footer","","The block is collapsed and the 8 value is shown
Show more is displayed in the footer","","Click on Show less","",""
"C410642","Facets > The number of vales more than 14 > Scrolling within block","","","Medium","Search by facets value (Desktop + Mobile)","1","","Filters (Desktop and Mobile) > Search by facets value (Desktop + Mobile)","","Step Description:
Go to Catalog &gt; Facets
Click on Brand

Expected Result:
The Search field is shown with Place holder: Search {facetName}

**Show more** is present in the footer

Only **8 values** are shown

There is no Scrolling within the block","","The Search field is shown with Place holder: Search {facetName}

**Show more** is present in the footer

Only **8 values** are shown

There is no Scrolling within the block","","Go to Catalog &gt; Facets
Click on Brand
","Other","0"
"","","","","","","","","","","
Step Description:
Click on Show More
Expected Result:
The block is extended

The Max height is 14 values

There is Scrolling within a block

The Show More changes to Show Less in the footer","","The block is extended

The Max height is 14 values

There is Scrolling within a block

The Show More changes to Show Less in the footer","","Click on Show More","",""
"","","","","","","","","","","
Step Description:
Try to scroll within the block
Expected Result:
The Search field is sticky
It's possible to scroll the values to the end of the block
","","The Search field is sticky
It's possible to scroll the values to the end of the block
","","Try to scroll within the block","",""
"C410643","Facets > Search by value > case insensitive","","","Medium","Search by facets value (Desktop + Mobile)","1","","Filters (Desktop and Mobile) > Search by facets value (Desktop + Mobile)","","Step Description:
Go to Catalog &gt; Facets
Click on Color
Enter a color value in uppercase in the search field (e.g., """"PINK"""")
Select value
Expected Result:
The appropriate value is found
The search results include products matching the entered color value

  

  
","","The appropriate value is found
The search results include products matching the entered color value

  

  
","","Go to Catalog &gt; Facets
Click on Color
Enter a color value in uppercase in the search field (e.g., ""PINK"")
Select value","Other","0"
"","","","","","","","","","","
Step Description:
Enter a color value in lowercase in the search field (e.g., """"pink"""")
Select value
Expected Result:
The appropriate value is found
The search results include products matching the entered color value


","","The appropriate value is found
The search results include products matching the entered color value


","","Enter a color value in lowercase in the search field (e.g., ""pink"")
Select value","",""
"","","","","","","","","","","
Step Description:
Repeat steps 1-2 with different facet values and case variations for each facet block to ensure case-insensitive filtering.
Expected Result:
The appropriate value is found
The search results include products matching the entered color value","","The appropriate value is found
The search results include products matching the entered color value","","Repeat steps 1-2 with different facet values and case variations for each facet block to ensure case-insensitive filtering.","",""
"C410644","Facets > Search by value > Invalid value","","","Medium","Search by facets value (Desktop + Mobile)","1","","Filters (Desktop and Mobile) > Search by facets value (Desktop + Mobile)","","Step Description:
Go to catalog &gt; Facets
Click on Brand



Expected Result:
The Search field is shown with Place holder: Search {facetName}","","The Search field is shown with Place holder: Search {facetName}","","Go to catalog &gt; Facets
Click on Brand


","Other","0"
"","","","","","","","","","","
Step Description:
Enter a non-existent facet value in the search field.
Expected Result:
There is no matching value

""""No results""""


 ![](index.php?/attachments/get/e02c8838-0110-41a8-b378-6e11f0fc250b) 


","","There is no matching value

""No results""


 ![](index.php?/attachments/get/e02c8838-0110-41a8-b378-6e11f0fc250b) 


","","Enter a non-existent facet value in the search field.","",""
"","","","","","","","","","","
Step Description:
Enter symbols such as %@*&^%#
Expected Result:
There is no matching value

""""No results""""

","","There is no matching value

""No results""

","","Enter symbols such as %@*&^%#","",""
"","","","","","","","","","","
Step Description:
Enter whitespace characters
Expected Result:
There is no matching value

""""No results""""

","","There is no matching value

""No results""

","","Enter whitespace characters","",""
"","","","","","","","","","","
Step Description:
Enter digits to facet block which contains only string value (ex.Brand, Color)
Expected Result:
There is no matching value

""""No results""""

","","There is no matching value

""No results""

","","Enter digits to facet block which contains only string value (ex.Brand, Color)","",""
"","","","","","","","","","","
Step Description:
Enter string value to block which contains only digits (ex. LCD size)
Expected Result:
There is no matching value

""""No results""""

","","There is no matching value

""No results""

","","Enter string value to block which contains only digits (ex. LCD size)","",""
"C410645","Facets > Search by value > Term facets","","","Medium","Search by facets value (Desktop + Mobile)","1","","Filters (Desktop and Mobile) > Search by facets value (Desktop + Mobile)","","Step Description:
Click on Brand 
Enter the Brand name into the search field
Expected Result:
The appropriate value is found","","The appropriate value is found","","Click on Brand 
Enter the Brand name into the search field","Other","0"
"","","","","","","","","","","
Step Description:
Select value
Expected Result:
The search results include products matching the entered Brand value","","The search results include products matching the entered Brand value","","Select value","",""
"","","","","","","","","","","
Step Description:
Clear the search field
Expected Result:
Selected values remain selected.","","Selected values remain selected.","","Clear the search field","",""
"C410646","Facets > Search by value > Range facets","https://virtowayqa.testrail.io/index.php?/attachments/get/1000003402","","Medium","Search by facets value (Desktop + Mobile)","1","","Filters (Desktop and Mobile) > Search by facets value (Desktop + Mobile)","","Step Description:
Click on Price
Enter the price into the search field
Expected Result:
The appropriate value is found

 ![](index.php?/attachments/get/bfbe1caa-195f-4b9d-8ab5-14ba4b16da2d) 
","","The appropriate value is found

 ![](index.php?/attachments/get/bfbe1caa-195f-4b9d-8ab5-14ba4b16da2d) 
","","Click on Price
Enter the price into the search field","Other","0"
"","","","","","","","","","","
Step Description:
Select value
Expected Result:
The search results include products matching the entered price value","","The search results include products matching the entered price value","","Select value","",""
"","","","","","","","","","","
Step Description:
Clear the search field
Expected Result:
Selected values remain selected.","","Selected values remain selected.","","Clear the search field","",""
"C410647","Facets > Search on fly > less/equal 8 values are found > Show more is not presented","","","Medium","Search by facets value (Desktop + Mobile)","1","","Filters (Desktop and Mobile) > Search by facets value (Desktop + Mobile)","","Step Description:
Enter 1 symbol into the Search field (ex. p)
Expected Result:
searching on the fly 

less/equal 8 values are found

**Show more** is not presented


 ![](index.php?/attachments/get/25efdd93-194b-4cf6-9b50-5c85ea84073b) 


  



","","searching on the fly 

less/equal 8 values are found

**Show more** is not presented


 ![](index.php?/attachments/get/25efdd93-194b-4cf6-9b50-5c85ea84073b) 


  



","","Enter 1 symbol into the Search field (ex. p)","Other","0"
"C410648","Facets > Search on fly > more than 8 values are found > Show more is presented","https://virtowayqa.testrail.io/index.php?/attachments/get/1000002865","","Medium","Search by facets value (Desktop + Mobile)","1","","Filters (Desktop and Mobile) > Search by facets value (Desktop + Mobile)","","Step Description:
Enter 1 symbol into the Search field (ex. a)
Expected Result:
searching on the fly 

more than 8 values are found

**Show more** is presented

There is no Scrolling within block



 ![](index.php?/attachments/get/9b43f020-461e-4dfc-9c3e-e4707edd020a) 



  



","","searching on the fly 

more than 8 values are found

**Show more** is presented

There is no Scrolling within block



 ![](index.php?/attachments/get/9b43f020-461e-4dfc-9c3e-e4707edd020a) 



  



","","Enter 1 symbol into the Search field (ex. a)","Other","0"
"C410649","Facets > Search on fly > more than 14 values are found > Scrolling within block","https://virtowayqa.testrail.io/index.php?/attachments/get/1000000296","","Medium","Search by facets value (Desktop + Mobile)","1","","Filters (Desktop and Mobile) > Search by facets value (Desktop + Mobile)","","Step Description:
Enter 1 symbol into the Search field (ex. e)

Expected Result:
searching on the fly

more than 14 values are found

**Show More** is presented
","","searching on the fly

more than 14 values are found

**Show More** is presented
","","Enter 1 symbol into the Search field (ex. e)
","Other","0"
"","","","","","","","","","","
Step Description:
Click on Show More
Expected Result:
The block is extended

The Max height is 14 values

There is Scrolling within a block

The Show More changes to Show Less in the footer","","The block is extended

The Max height is 14 values

There is Scrolling within a block

The Show More changes to Show Less in the footer","","Click on Show More","",""
"","","","","","","","","","","
Step Description:
Try to scroll within the block
Expected Result:
The Search field is sticky
It's possible to scroll the values to the end of the block


 ![](index.php?/attachments/get/101ee508-eb0a-468f-83f0-c9762c7b709e) 



","","The Search field is sticky
It's possible to scroll the values to the end of the block


 ![](index.php?/attachments/get/101ee508-eb0a-468f-83f0-c9762c7b709e) 



","","Try to scroll within the block","",""
"C412798","Single Facet Selection Badge Display","","- Badge appears in widget header showing '1'
- Same badge appears in horizontal facets view
- Badge is clearly visible and properly styled","High","Facets > Show qty of facets applied","1","VCST-4077","Filters (Desktop and Mobile) > Facets > Show qty of facets applied","1. Locate any facet widget
2. Select one value from the facet
3. Observe the widget header
4. Observe the horizontal facet display","","","","","","Functional","0"
"C412799","Multiple Facet Values Selection","","- Badge updates incrementally with each selection (1→2→3)
- Badge displays total number of selected values accurately
- Badge updates appear in both widget header and horizontal view","High","Facets > Show qty of facets applied","1","VCST-4077","Filters (Desktop and Mobile) > Facets > Show qty of facets applied","1. Select first value from a facet
2. Select second value from the same facet
3. Select third value from the same facet
4. Observe badge updates","","","","","","Functional","0"
"C412800","Zero Selected Values Display","","- No badges should be visible when no values are selected
- Badge appears when value is selected
- Badge disappears when last value is deselected","Medium","Facets > Show qty of facets applied","1","VCST-4077","Filters (Desktop and Mobile) > Facets > Show qty of facets applied","1. Observe facet widget headers
2. Observe horizontal facets
3. Select one value then deselect it","","","","","","Functional","0"
"C412801","Cross-Browser Badge Display","","- Badge appears consistently across all browsers
- Badge styling is consistent
- Numbers are clearly visible in all browsers","Medium","Facets > Show qty of facets applied","1","VCST-4077","Filters (Desktop and Mobile) > Facets > Show qty of facets applied","1. Open application in each browser
2. Select multiple facet values
3. Compare badge display across browsers","","","","","","Compatibility","0"
"C412802","Badge Persistence After Page Refresh","","- Selected facets remain selected after refresh
- Badges display correct counts after refresh
- No visual glitches in badge display","Medium","Facets > Show qty of facets applied","1","VCST-4077","Filters (Desktop and Mobile) > Facets > Show qty of facets applied","1. Select multiple facet values
2. Refresh the page
3. Observe badge status","","","","","","Functional","0"
"C410671","product_filters_sorting: true > Order for facets is ascending","","","Medium","Sorting facets","0","","Sorting facets","","Step Description:
Go to store &gt; open Aggregation property

Change order for Brand or Color by d&d

Save


Expected Result:
The properties are saved","","The properties are saved","","Go to store &gt; open Aggregation property

Change order for Brand or Color by d&d

Save

","Other","0"
"","","","","","","","","","","
Step Description:
Go to storefront &gt; Open any category

Check the order for facets 
Expected Result:
Order for facets is ascending (from A-Z order) and different than in the admin","","Order for facets is ascending (from A-Z order) and different than in the admin","","Go to storefront &gt; Open any category

Check the order for facets ","",""
"C410672","product_filters_sorting: true > Order for facets is descending","","","Medium","Sorting facets","0","","Sorting facets","","Step Description:
Go to store &gt; open Aggregation property

Change order for Brand or Color by d&d

Save


Expected Result:
The properties are saved","","The properties are saved","","Go to store &gt; open Aggregation property

Change order for Brand or Color by d&d

Save

","Other","0"
"","","","","","","","","","","
Step Description:
Go to storefront &gt; Open any category

Check the order for facets 
Expected Result:
Order for facets is descending (from Z-A order) and different than in the admin","","Order for facets is descending (from Z-A order) and different than in the admin","","Go to storefront &gt; Open any category

Check the order for facets ","",""
"C410673","product_filters_sorting: false > Order for facets the same as in the admin panel","","","Medium","Sorting facets","0","","Sorting facets","","Step Description:
Go to store &gt; open Aggregation property

Change order for Brand or Color by d&d

Save


Expected Result:
The properties are saved

 ![](index.php?/attachments/get/7111776e-8676-4236-9cc4-008aba6a864d) 

","","The properties are saved

 ![](index.php?/attachments/get/7111776e-8676-4236-9cc4-008aba6a864d) 

","","Go to store &gt; open Aggregation property

Change order for Brand or Color by d&d

Save

","Other","0"
"","","","","","","","","","","
Step Description:
Go to storefront &gt; Open any category

Check the order for facets 
Expected Result:
Order for facets the same as in admin

 ![](index.php?/attachments/get/399ff6b5-76c4-4ee5-9272-06a55e706693) 

","","Order for facets the same as in admin

 ![](index.php?/attachments/get/399ff6b5-76c4-4ee5-9272-06a55e706693) 

","","Go to storefront &gt; Open any category

Check the order for facets ","",""
"C410607","Grid view > Product without variation > general view","","","Medium","Product block view","0","","Product block view","","Step Description:
1. Check product_1 view
Expected Result:
1. Product view should look like this:
- Image with  """"-N% off"""" badge (if Sale price and List price differences more than 5%)
- Image
- Compare check box
- In stock count
- Name
- Properties with values
- Sale price and List price 
- Add to cart button
","","1. Product view should look like this:
- Image with  ""-N% off"" badge (if Sale price and List price differences more than 5%)
- Image
- Compare check box
- In stock count
- Name
- Properties with values
- Sale price and List price 
- Add to cart button
","","1. Check product_1 view","Other","0"
"","","","","","","","","","","
Step Description:
1. Check images on the product_2
Expected Result:
1. Gallery carousel with 2 dots","","1. Gallery carousel with 2 dots","","1. Check images on the product_2","",""
"","","","","","","","","","","
Step Description:
1. Check images on the product_3
Expected Result:
1. Gallery carousel with 3 dots if there is more than 3 image","","1. Gallery carousel with 3 dots if there is more than 3 image","","1. Check images on the product_3","",""
"","","","","","","","","","","
Step Description:
Click on the product name
Expected Result:
The product detail page opened in a new tab","","The product detail page opened in a new tab","","Click on the product name","",""
"C410608","Grid view > Product with variation > general view","","","Medium","Product block view","0","","Product block view","","Step Description:
1. Check products view
Expected Result:
1. Product view should look like this:
- Image """"-N%"""" badge (if Sale price and List price differences more than 5%) 
- Compare check box
- Star (active - orange/ inactive - grey)
- Name
- Properties with values
- From N 
- Button: № of variations

- Show on a separate page (link)","","1. Product view should look like this:
- Image ""-N%"" badge (if Sale price and List price differences more than 5%) 
- Compare check box
- Star (active - orange/ inactive - grey)
- Name
- Properties with values
- From N 
- Button: № of variations

- Show on a separate page (link)","","1. Check products view","Other","0"
"","","","","","","","","","","
Step Description:
1. Click button № of Variations
Expected Result:
1. Details product page with variation opens in a new Tab","","1. Details product page with variation opens in a new Tab","","1. Click button № of Variations","",""
"","","","","","","","","","","
Step Description:
1. Check images on the product_2
Expected Result:
1. Gallery carousel with 2 dots","","1. Gallery carousel with 2 dots","","1. Check images on the product_2","",""
"","","","","","","","","","","
Step Description:
1. Check images on the product_3
Expected Result:
1. Gallery carousel with 3 dots if there is more than 3 image","","1. Gallery carousel with 3 dots if there is more than 3 image","","1. Check images on the product_3","",""
"C410609","List view > Product without variation > general view","","1. Product view should look like this:
- Image
- Name 
- Compare icon
- Star
- In stock count
- Properties with values
- Sale price and List price 
- Add to cart button    ","Medium","Product block view","0","","Product block view","1. Check products view","","","","","","Other","0"
"C410610","List view > Product with variation > general view","","","Medium","Product block view","0","","Product block view","","Step Description:
1. Check products view
Expected Result:
1. Product view should look like this:
- Image
- Name 
- Compare icon
- In stock count
- Properties with values
- Sale price and List price
- № variations button","","1. Product view should look like this:
- Image
- Name 
- Compare icon
- In stock count
- Properties with values
- Sale price and List price
- № variations button","","1. Check products view","Other","0"
"","","","","","","","","","","
Step Description:
1. Click № variations button
Expected Result:
1. Details product page with variation opens","","1. Details product page with variation opens","","1. Click № variations button","",""
"C410611","Product block view > count labels colors","","","Medium","Product block view","0","","Product block view","","Step Description:
1. Go to the Category_1
3. Check Product_1-Product_3 stock count label
Expected Result:
1. Product stock count should be:
- Product_1 - 10 in stock __green__ color
- Product_2 - out of stock __red__ color
 ","","1. Product stock count should be:
- Product_1 - 10 in stock __green__ color
- Product_2 - out of stock __red__ color
 ","","1. Go to the Category_1
3. Check Product_1-Product_3 stock count label","Other","0"
"","","","","","","","","","","
Step Description:
1. Go to the BackEnd (admin/store)
2. Go to each product from preconditions.
3. Click on the """"Fulfillment centers"""" widget.
4. Change count of the items  available for the:
- Product_1  change to 0 items
- Product_2 change to 10 items
Expected Result:
1. Go to the Category_1
2. Check Product_1-Product_3 stock count label
- Product_1 - out of stock __red__ color
- Product_2 - 10 in stock __green__ color

","","1. Go to the Category_1
2. Check Product_1-Product_3 stock count label
- Product_1 - out of stock __red__ color
- Product_2 - 10 in stock __green__ color

","","1. Go to the BackEnd (admin/store)
2. Go to each product from preconditions.
3. Click on the ""Fulfillment centers"" widget.
4. Change count of the items  available for the:
- Product_1  change to 0 items
- Product_2 change to 10 items","",""
"C410612","Product block view > count labels limit","","","Medium","Product block view","0","","Product block view","","Step Description:
1. Go to the Category_1
3. Check Product_1 stock count label
Expected Result:
1. Product stock count should be:
- Product_1 - 9999+ in stock __green__ color

","","1. Product stock count should be:
- Product_1 - 9999+ in stock __green__ color

","","1. Go to the Category_1
3. Check Product_1 stock count label","Other","0"
"C410613","Product block view > price update","","","Medium","Product block view","0","","Product block view","","Step Description:
1. Go to the store
2. Open Category_1
3. Check the price for the Product_1
Expected Result:
1. There is a price assigned to the product.","","1. There is a price assigned to the product.","","1. Go to the store
2. Open Category_1
3. Check the price for the Product_1","Other","0"
"","","","","","","","","","","
Step Description:
1. Go to the Admin Environment > Catalog > Product_1 > Price widget
2. Change the price.
3. Go to the store.
4. Go to the Category_1
5. Pay attention to the price for the Product_1

Expected Result:
1. Price for the product_1 is updated
 ","","1. Price for the product_1 is updated
 ","","1. Go to the Admin Environment > Catalog > Product_1 > Price widget
2. Change the price.
3. Go to the store.
4. Go to the Category_1
5. Pay attention to the price for the Product_1
","",""
"C410614","MOBILE > Product block view","","","Medium","Product block view","0","","Product block view","","Step Description:
1. Check the product block view
Expected Result:
1. Product block view should look like this:
- Image
- Compare **check box** 
- In stock count
- Name
- Item #
- Sale price + list price
- Add to cart **button**","","1. Product block view should look like this:
- Image
- Compare **check box** 
- In stock count
- Name
- Item #
- Sale price + list price
- Add to cart **button**","","1. Check the product block view","Other","0"
"C410636","Main product = minPrice + Variation1 = maxPrice > From mainProduct minPrice","","","Medium","Variations cards","0","","Variations cards","","Step Description:
Open Category page

Check the card of the specified product

Expected Result:
System shows price = 9$","","System shows price = 9$","","Open Category page

Check the card of the specified product
","Other","0"
"","","","","","","","","","","
Step Description:
Change currency to EURO

Open Category page

Check the card of the specified product


Expected Result:
System shows price = 9 euro","","System shows price = 9 euro","","Change currency to EURO

Open Category page

Check the card of the specified product

","",""
"C410637","Main Product= maxPrice + Variation1=minPrice + Variation2=maxPrice > From variation1 minPrice","","","Medium","Variations cards","0","","Variations cards","","Step Description:
Open Category page

Check the card of the specified product
Expected Result:
The system shows the price: from 7.50$","","The system shows the price: from 7.50$","","Open Category page

Check the card of the specified product","Other","0"
"","","","","","","","","","","
Step Description:
Change currency to EURO

Open Category page

Check the card of the specified product
Expected Result:
The system shows the price: from 7.50 euro","","The system shows the price: from 7.50 euro","","Change currency to EURO

Open Category page

Check the card of the specified product","",""
"C410638","Main product =maxPrice + Variation1 = maxPrice + Variation2 = minPrice > From variation2 minPrice","","","Medium","Variations cards","0","","Variations cards","","Step Description:
Open Category page

Check the card of the specified product
Expected Result:
The system shows the price: from 10.50$","","The system shows the price: from 10.50$","","Open Category page

Check the card of the specified product","Other","0"
"","","","","","","","","","","
Step Description:
Change currency to EURO

Open Category page

Check the card of the specified product
Expected Result:
The system shows the price: from 10.50 euro","","The system shows the price: from 10.50 euro","","Change currency to EURO

Open Category page

Check the card of the specified product","",""
"C410674","Product without variations > general view","https://virtowayqa.testrail.io/index.php?/attachments/get/1000003728","","Medium","Product page (Desktop+Mobile)","0","","Product page (Desktop+Mobile)","","Step Description:
1. Open catalog_1
2. Open any item. 
3. Look through the page. 
Expected Result:
1. The product details page contains: 

- Breadcrumbs
- Product title
- SKU and Copy button
- Product main image 
- Product photo gallery 
- Properties with See more/ See less buttons
- Descriptions with See more/ See less buttons
- Specifications
- Related products section

- Price & delivery section","","1. The product details page contains: 

- Breadcrumbs
- Product title
- SKU and Copy button
- Product main image 
- Product photo gallery 
- Properties with See more/ See less buttons
- Descriptions with See more/ See less buttons
- Specifications
- Related products section

- Price & delivery section","","1. Open catalog_1
2. Open any item. 
3. Look through the page. ","Other","0"
"","","","","","","","","","","
Step Description:
1. Check the photo gallery
2. Click any photo 
Expected Result:
1. Photo opens as the main picture





","","1. Photo opens as the main picture





","","1. Check the photo gallery
2. Click any photo ","",""
"","","","","","","","","","","
Step Description:
Check  Price & delivery section
Expected Result:
1. Next elements are presented:


- Your  price: sale price/list price
- Input field with button Add to cart
- Chip N in stock

- Buttons: Add to list, Compare, Share, Email, Print

 ![](index.php?/attachments/get/d174c6ce-b8d7-458e-814e-d6011e3c654f) 

","","1. Next elements are presented:


- Your  price: sale price/list price
- Input field with button Add to cart
- Chip N in stock

- Buttons: Add to list, Compare, Share, Email, Print

 ![](index.php?/attachments/get/d174c6ce-b8d7-458e-814e-d6011e3c654f) 

","","Check  Price & delivery section","",""
"","","","","","","","","","","
Step Description:
1. Uncollapse properties and description sections
2. Scroll the page to the end
3. Pay attention to the Price & delivery section
Expected Result:
Scrolling only the product block
The Price & delivery section is pinned on the right side","","Scrolling only the product block
The Price & delivery section is pinned on the right side","","1. Uncollapse properties and description sections
2. Scroll the page to the end
3. Pay attention to the Price & delivery section","",""
"C410675","Digital Product without variations > general view","https://virtowayqa.testrail.io/index.php?/attachments/get/1000000591","","Medium","Product page (Desktop+Mobile)","0","","Product page (Desktop+Mobile)","","Step Description:
1. Open catalog_1
2. Open Digital product. 
3. Look through the page. 
Expected Result:
1. The product details page contains: 

- Breadcrumbs 
- Product Title
- SKU #Number with a Copy button
- Product Image with carousel
- Properties with See more/ See less buttons
- Descriptions with See more/ See less buttons
- Specification
- Related products section

- Price & delivery section



  

","","1. The product details page contains: 

- Breadcrumbs 
- Product Title
- SKU #Number with a Copy button
- Product Image with carousel
- Properties with See more/ See less buttons
- Descriptions with See more/ See less buttons
- Specification
- Related products section

- Price & delivery section



  

","","1. Open catalog_1
2. Open Digital product. 
3. Look through the page. ","Other","0"
"","","","","","","","","","","
Step Description:
1. Check the photo gallery
2. Click any photo 
Expected Result:
1. Photo opens as main picture","","1. Photo opens as main picture","","1. Check the photo gallery
2. Click any photo ","",""
