"ID","Title","Attachments","Expected Result","Priority","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Step)","Type"
"","","","","","","","","","","
Step Description:
Click on See more
Expected Result:
The full descriptions details are opened

The button text changed to “See less“","","The full descriptions details are opened

The button text changed to “See less“","","Click on See more",""
"","","","","","","","","","","
Step Description:
Click on See less
Expected Result:
The part of the text is hidden. Only 8 line displays

The button text changed to “See more“","","The part of the text is hidden. Only 8 line displays

The button text changed to “See more“","","Click on See less",""
"","","","","","","","","","","
Step Description:
Go to Catalog
Find Product3
Open PDP
Check descriptions block
Expected Result:
The """"See more"""" button displays by default","","The ""See more"" button displays by default","","Go to Catalog
Find Product3
Open PDP
Check descriptions block",""
"","","","","","","","","","","
Step Description:
Try to click the See more and See less button
Expected Result:
The text uncollapsed and collapsed.","","The text uncollapsed and collapsed.","","Try to click the See more and See less button",""
"C389632","PDP > Specifications","","","Medium","Default variation layout","2","","Product details page > Variations  (Desktop+Mobile) > Default variation layout","","","","","","","Other"
"C389633","PDP > Variations > General","","","Medium","Default variation layout","2","","Product details page > Variations  (Desktop+Mobile) > Default variation layout","","","","","","","Other"
"C389634","PDP > Variations > List view","","","Medium","Default variation layout","2","","Product details page > Variations  (Desktop+Mobile) > Default variation layout","","","","","","","Other"
"C389635","PDP > Variations > Table view","","","Medium","Default variation layout","2","","Product details page > Variations  (Desktop+Mobile) > Default variation layout","","","","","","","Other"
"C407709","Display B2C SKU Selector if conditions met","","","Medium","B2C variation layout","2","https://virtocommerce.atlassian.net/browse/VCST-3459
https://virtocommerce.atlassian.net/browse/VCST-3565

Available from vc-frontend 2.27.0


","Product details page > Variations  (Desktop+Mobile) > B2C variation layout","","Step Description:
Product  page is opened with variations
Expected Result:
The section Options is displayed. 
Variation list / table view is hidden
The property VirtoFrontend_UI_Layout = B2C is hidden
","","The section Options is displayed. 
Variation list / table view is hidden
The property VirtoFrontend_UI_Layout = B2C is hidden
","","Product  page is opened with variations","Other"
"C407710","Do NOT display SKU Selector for non-B2C layout","","","Medium","B2C variation layout","2","https://virtocommerce.atlassian.net/browse/VCST-3459
https://virtocommerce.atlassian.net/browse/VCST-3565

Available from vc-frontend 2.27.0


","Product details page > Variations  (Desktop+Mobile) > B2C variation layout","","Step Description:
Product with variations and 'VirtoFrontend_UI_Layout = B2B'
Expected Result:
Options is not displayed. Variation list / table is shown","","Options is not displayed. Variation list / table is shown","","Product with variations and 'VirtoFrontend_UI_Layout = B2B'","Other"
