"ID","Title","Attachments","Expected Result","Priority","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Step)","Type"
"","","","","","","","","","","
Step Description:
1. Enter necessary information, except __Last name__
2. Click away from the Last name field.
 
Expected Result:
1. Error message shows about required Last name  field.      ","","1. Error message shows about required Last name  field.      ","","1. Enter necessary information, except __Last name__
2. Click away from the Last name field.
 ",""
"","","","","","","","","","","
Step Description:
1. Enter necessary information, except __Email__
2. Click away from the Email field.
 
Expected Result:
1. Error message shows about required field Email.        ","","1. Error message shows about required field Email.        ","","1. Enter necessary information, except __Email__
2. Click away from the Email field.
 ",""
"","","","","","","","","","","
Step Description:
1. Enter the necessary information, except __Organization name__
2. Click away from the Organization name field.
Expected Result:
1. Error message shows about required Organization name field ","","1. Error message shows about required Organization name field ","","1. Enter the necessary information, except __Organization name__
2. Click away from the Organization name field.",""
"","","","","","","","","","","
Step Description:
1. Enter the necessary information, except __Password__
2. Click away from the Password field.
Expected Result:
1. Error message shows about required Password  field.   ","","1. Error message shows about required Password  field.   ","","1. Enter the necessary information, except __Password__
2. Click away from the Password field.",""
"C389049","Validation > ORGANIZATION > max chars","","","Medium","Validation","1","","Registration  (Desktop+Mobile) > Validation","","Step Description:
1. Fill in the field  __First name__ with more than 64 chars



Expected Result:
1. Error message shows that field can't be more than 64 chars","","1. Error message shows that field can't be more than 64 chars","","1. Fill in the field  __First name__ with more than 64 chars


","Functional"
"","","","","","","","","","","
Step Description:
1. Fill in the field  __Last name__ with more than 64 chars

Expected Result:
1. Error message shows that field can't be more than 64 chars  ","","1. Error message shows that field can't be more than 64 chars  ","","1. Fill in the field  __Last name__ with more than 64 chars
",""
"","","","","","","","","","","
Step Description:
1. Fill in the field  __ Email__ with more than 64 chars

Expected Result:
1. Error message shows that field can't be more than 64 chars     ","","1. Error message shows that field can't be more than 64 chars     ","","1. Fill in the field  __ Email__ with more than 64 chars
",""
"","","","","","","","","","","
Step Description:
Fill in the field  __Organization name__ with more than 64 chars
Expected Result:
1. Error message shows that field can't be more than 64 chars","","1. Error message shows that field can't be more than 64 chars","","Fill in the field  __Organization name__ with more than 64 chars",""
"C389050","Validation > unique email and username","","","Medium","Validation","1","","Registration  (Desktop+Mobile) > Validation","","Step Description:
1. Enter necessary Personal information:
- Email address: exists in the system


Expected Result:
1. Shows error message about not unique email. Appears after filling the field.

","","1. Shows error message about not unique email. Appears after filling the field.

","","1. Enter necessary Personal information:
- Email address: exists in the system

","Automated"
"C389051","Validation > email","","","Medium","Validation","1","","Registration  (Desktop+Mobile) > Validation","","Step Description:
1. Enter necessary information:

-- First name
-- Last name
-- Email address: enter wrong data (for example without """"@"""")
-- Username
-- Password 
2. Click button Next step  
 
Expected Result:
1. Error message shows about incorrect email.","","1. Error message shows about incorrect email.","","1. Enter necessary information:

-- First name
-- Last name
-- Email address: enter wrong data (for example without ""@"")
-- Username
-- Password 
2. Click button Next step  
 ","Automated"
"C389052","Validation > password  match","","","Medium","Validation","1","","Registration  (Desktop+Mobile) > Validation","","Step Description:
1. Enter necessary information:

- First name
- Last name
- Email address 
- Username
- Password: fill in 2 different passwords
2. Click button Next step  
 
Expected Result:
1. Error message shows about passwords not match each other.","","1. Error message shows about passwords not match each other.","","1. Enter necessary information:

- First name
- Last name
- Email address 
- Username
- Password: fill in 2 different passwords
2. Click button Next step  
 ","Automated"
"C389053","Validation > password policy","","","Medium","Validation","1","","Registration  (Desktop+Mobile) > Validation","","Step Description:
1. Enter necessary Personal information:
- First name
- Last name
- Email address 
- Username
- Password (for example, Qwert1!) 

2. Click button Next step  
 
Expected Result:
1. Error message shows about Password must be at least 8 characters.","","1. Error message shows about Password must be at least 8 characters.","","1. Enter necessary Personal information:
- First name
- Last name
- Email address 
- Username
- Password (for example, Qwert1!) 

2. Click button Next step  
 ","Automated"
"","","","","","","","","","","
Step Description:
1. Enter necessary Personal information:

- First name
- Last name
- Email address
- Username
- Password (for example, qwerty1!)
2. Click button Next step
Expected Result:
1. Error message shows about Passwords must have at least one uppercase ('A'-'Z')","","1. Error message shows about Passwords must have at least one uppercase ('A'-'Z')","","1. Enter necessary Personal information:

- First name
- Last name
- Email address
- Username
- Password (for example, qwerty1!)
2. Click button Next step",""
"","","","","","","","","","","
Step Description:
1. Enter necessary Personal information:

- First name
- Last name
- Email address
- Username
- Password (for example, QWERTY1!)
2. Click button Next step
Expected Result:
1. Error message shows about Passwords must have at least one lowercase ('a'-'z')","","1. Error message shows about Passwords must have at least one lowercase ('a'-'z')","","1. Enter necessary Personal information:

- First name
- Last name
- Email address
- Username
- Password (for example, QWERTY1!)
2. Click button Next step",""
"","","","","","","","","","","
Step Description:
1. Enter necessary Personal information:

- First name
- Last name
- Email address
- Username
- Password (for example, Qwertyu!)
2. Click button Next step
Expected Result:
1. Error message shows about Passwords must have at least one digit ('0'-'9')","","1. Error message shows about Passwords must have at least one digit ('0'-'9')","","1. Enter necessary Personal information:

- First name
- Last name
- Email address
- Username
- Password (for example, Qwertyu!)
2. Click button Next step",""
"","","","","","","","","","","
Step Description:
1. Enter necessary Personal information:

- First name
- Last name
- Email address
- Username
- Password (for example, Qwerty12)
2. Click button Next step
Expected Result:
1. Error message shows about Passwords must have at least one non-alphanumeric character","","1. Error message shows about Passwords must have at least one non-alphanumeric character","","1. Enter necessary Personal information:

- First name
- Last name
- Email address
- Username
- Password (for example, Qwerty12)
2. Click button Next step",""
"","","","","","","","","","","
Step Description:
1. Enter necessary Personal information:

- First name
- Last name
- Email address
- Username
- Password (for example, 11111!!!)
2. Click button Next step
Expected Result:
1. Error message shows about:
- Passwords must have at least one lowercase ('a'-'z') 
- Passwords must have at least one uppercase ('A'-'Z') 
- Passwords must have at least 3 unique characters ","","1. Error message shows about:
- Passwords must have at least one lowercase ('a'-'z') 
- Passwords must have at least one uppercase ('A'-'Z') 
- Passwords must have at least 3 unique characters ","","1. Enter necessary Personal information:

- First name
- Last name
- Email address
- Username
- Password (for example, 11111!!!)
2. Click button Next step",""
"","","","","","","","","","","
Step Description:
1. Enter necessary Personal information:

- First name
- Last name
- Email address
- Username
- Password (for example, 1)
2. Click button Next step
Expected Result:
1. Error message shows about:
- Password must be at least 8 characters 
- Passwords must have at least one non-alphanumeric character 
- Passwords must have at least one lowercase ('a'-'z')
- Passwords must have at least one uppercase ('A'-'Z')
- Passwords must have at least 3 unique characters","","1. Error message shows about:
- Password must be at least 8 characters 
- Passwords must have at least one non-alphanumeric character 
- Passwords must have at least one lowercase ('a'-'z')
- Passwords must have at least one uppercase ('A'-'Z')
- Passwords must have at least 3 unique characters","","1. Enter necessary Personal information:

- First name
- Last name
- Email address
- Username
- Password (for example, 1)
2. Click button Next step",""
"C389054","Validation > error messages > localization","","","Medium","Validation","1","","Registration  (Desktop+Mobile) > Validation","","Step Description:
1. Choose localization EN or DE
2. Open registration form
3. Fill in the First name 
4. Clean First name 
5. Click away from the First name field
6. Pay attention on the error message
Expected Result:
1. Error message is notified user in the language which was selected

","","1. Error message is notified user in the language which was selected

","","1. Choose localization EN or DE
2. Open registration form
3. Fill in the First name 
4. Clean First name 
5. Click away from the First name field
6. Pay attention on the error message","Functional"
"","","","","","","","","","","
Step Description:
1. Fill the Username field (Username exist in the system)
2. Pay attention on the error message

Expected Result:
1. Error message is notified user in the language which was selected","","1. Error message is notified user in the language which was selected","","1. Fill the Username field (Username exist in the system)
2. Pay attention on the error message
",""
"","","","","","","","","","","
Step Description:
1. Enter First name with more than 64 chars
2. Fill in the other necessary information
3. Pay attention on the error message

Expected Result:
1. Error message is notified user in the language which was selected","","1. Error message is notified user in the language which was selected","","1. Enter First name with more than 64 chars
2. Fill in the other necessary information
3. Pay attention on the error message
",""
